bacteria_id	taxa	relAbundance	run_id	read1	read2
B5FC	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_avium	0.001	F30W	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F30/F30W/F30W.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F30/F30W/F30W.R2.fastq.gz
B6K9	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae	0.002	F5D8	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F5/F5D/F5D8/F5D8.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F5/F5D/F5D8/F5D8.R2.fastq.gz
B28G	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0.001	F26F	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F26/F26F/F26F.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F26/F26F/F26F.R2.fastq.gz
B5F1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	0.001	F35N	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35N/F35N.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35N/F35N.R2.fastq.gz
B504	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_confusa	0.006999999999999999	F2XD	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2X/F2XD/F2XD.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2X/F2XD/F2XD.R2.fastq.gz
B26C	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	0.001	F35D	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35D/F35D.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35D/F35D.R2.fastq.gz
B7VC	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_cecorum	0.01	F3TE	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TE/F3TE.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3T/F3TE/F3TE.R2.fastq.gz
B3JB	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus	0.001	F2DK	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2D/F2DK/F2DK.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F2D/F2DK/F2DK.R2.fastq.gz
BH9F	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius	0.002	F67D	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67D/F67D.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F6/F67/F67D/F67D.R2.fastq.gz
BW6J	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_3_1_53	0.021	FDWW	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDW/FDWW/FDWW.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDW/FDWW/FDWW.R2.fastq.gz
B6DV	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sakei	0.02	F47M	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F47/F47M/F47M.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F47/F47M/F47M.R2.fastq.gz
B26D	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	0.003	F269	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F26/F269/F269.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F2/F26/F269/F269.R2.fastq.gz
BF0Y	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus|s__Proteus_penneri	0.002	F5FM	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F5/F5F/F5FM/F5FM.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F5/F5F/F5FM/F5FM.R2.fastq.gz
B610	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0.023	F3G5	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3G/F3G5/F3G5.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3G/F3G5/F3G5.R2.fastq.gz
B2H7	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_casseliflavus	0.07	F3N2	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3N/F3N2/F3N2.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F3N/F3N2/F3N2.R2.fastq.gz
B444	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_macedonicus	0.002	F35F	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35F/F35F.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35F/F35F.R2.fastq.gz
B6NJ	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0.02	F4GR	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F4G/F4GR/F4GR.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F4/F4G/F4GR/F4GR.R2.fastq.gz
BAFJ	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0.04	FDE4	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDE/FDE4/FDE4.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDE/FDE4/FDE4.R2.fastq.gz
B1B	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus	0.015	F1YB	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F1/F1Y/F1YB/F1YB.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F1/F1Y/F1YB/F1YB.R2.fastq.gz
BDR2	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0.02	FGP5	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FG/FGP/FGP5/FGP5.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FG/FGP/FGP5/FGP5.R2.fastq.gz
BNEY	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_ulcerans	0.03	F773	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F7/F77/F773/F773.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F7/F77/F773/F773.R2.fastq.gz
BKG	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum	0.002	F35W	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35W/F35W.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/F3/F35/F35W/F35W.R2.fastq.gz
BG9H	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_varium	0.03	FDKK	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDK/FDKK/FDKK.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDK/FDKK/FDKK.R2.fastq.gz
BKJE	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	0.002	FDEJ	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDE/FDEJ/FDEJ.R1.fastq.gz	/k11e/pvdisk/bigbase/kbdata/sampledata/F/FD/FDE/FDEJ/FDEJ.R2.fastq.gz
