searchName	ncbiName	Length(Mb)	GC%
Enterococcus_avium	Enterococcus avium	4.46502	39
Lactococcus_garvieae	Lactococcus garvieae	2.04365	38.5
Streptococcus_infantis	Streptococcus infantis	1.8695	39.4
Streptococcus_mutans	Streptococcus mutans	1.96315	36.8
Weissella_confusa	Weissella confusa	2.25848	44.7
Streptococcus_sanguinis	Streptococcus sanguinis	2.36222	43.2
Enterococcus_cecorum	Enterococcus cecorum	2.3206	36.5
Streptococcus_anginosus	Streptococcus anginosus	1.95819	38.7
Streptococcus_infantarius	Streptococcus infantarius	1.94994	37.65
Erysipelotrichaceae_bacterium_3_1_53	Erysipelotrichaceae bacterium 3_1_53	4.4862	42.6
Lactobacillus_sakei	Lactobacillus sakei	1.99257	41.0649
Lactococcus_lactis	Lactococcus lactis	2.51141	35.1
Proteus_penneri	Proteus penneri	3.76056	37.8
Bacteroides_nordii	Bacteroides nordii	5.54065	40.45
Enterococcus_casseliflavus	Enterococcus casseliflavus	3.55541	42.6
Streptococcus_macedonicus	Streptococcus macedonicus	2.16374	37.4
Bacteroides_faecis	Bacteroides faecis	6.14654	42.45
Enterococcus_hirae	Enterococcus hirae	2.92747	36.8
Staphylococcus_aureus	Staphylococcus aureus	2.83691	32.7
Lactobacillus_fermentum	Lactobacillus fermentum	2.01183	51.8
Fusobacterium_ulcerans	Fusobacterium ulcerans	3.53904	30.5
Lactobacillus_plantarum	Lactobacillus plantarum	3.2344	44.5
Fusobacterium_varium	Fusobacterium varium	3.3093	29.2
Streptococcus_cristatus	Streptococcus cristatus	2.07309	42.4
Lactobacillus_delbrueckii	Lactobacillus delbrueckii	1.87507	49.8
Eubacterium_limosum	Eubacterium limosum	4.30266	47.3
Bacteroides_fluxus	Bacteroides fluxus	4.33072	45.6
Clostridium_hathewayi	Hungatella hathewayi	7.04837	48.8
Peptostreptococcus_anaerobius	Peptostreptococcus anaerobius	2.08309	35.8
Enterobacter_cloacae	Enterobacter cloacae	4.95909	55.1
Weissella_cibaria	Weissella cibaria	2.43908	44.9
Lactobacillus_casei_paracasei	Lactobacillus casei	3.00103	47.7
Clostridium_perfringens	Clostridium perfringens	3.46723	28.1
Olsenella_uli	Olsenella uli	2.15324	64.7
Enterococcus_faecalis	Enterococcus faecalis	2.96863	37.4
Bacteroides_finegoldii	Bacteroides finegoldii	5.00461	42.9
Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae bacterium 3_1_57FAA_CT1	7.71284	46.8
Lactobacillus_amylovorus	Lactobacillus amylovorus	2.03362	37.9442
Citrobacter_koseri	Citrobacter koseri	4.82395	53.8
Anaerococcus_vaginalis	Anaerococcus vaginalis	1.99797	29.6
Bifidobacterium_dentium	Bifidobacterium dentium	2.63575	58.5
Bacillus_cereus_thuringiensis	Bacillus cereus	5.75742	35
Serratia_marcescens	Serratia marcescens	5.1985	59.8
Bacteroides_uniformis	Bacteroides uniformis	4.92178	46.3
Bacteroides_ovatus	Bacteroides ovatus	6.71678	41.9
Bacteroides_plebeius	Bacteroides plebeius	4.02577	44.3
Bifidobacterium_adolescentis	Bifidobacterium adolescentis	2.20301	59.3
Streptococcus_salivarius	Streptococcus salivarius	2.24172	39.8
Bifidobacterium_longum	Bifidobacterium longum	2.39546	60
Bacteroides_vulgatus	Bacteroides vulgatus	5.05011	42.2
Bacteroides_stercoris	Bacteroides stercoris	4.08011	46
Parabacteroides_merdae	Parabacteroides merdae	4.47513	45.3
Escherichia_coli	Escherichia coli	5.12946	50.6
Fusobacterium_mortiferum	Fusobacterium mortiferum	2.68125	29.1
Finegoldia_magna	Finegoldia magna	1.90902	31.95
Campylobacter_ureolyticus	Campylobacter ureolyticus	1.6657	29.1
Bifidobacterium_pseudocatenulatum	Bifidobacterium pseudocatenulatum	2.25434	56.4
Bacteroides_thetaiotaomicron	Bacteroides thetaiotaomicron	6.37285	42.9
Providencia_stuartii	Providencia stuartii	4.49209	41.4
Alistipes_onderdonkii	Alistipes onderdonkii	3.40231	58.4
Lactobacillus_gasseri	Lactobacillus gasseri	1.91731	34.9
Bifidobacterium_bifidum	Bifidobacterium bifidum	2.20341	62.7
Collinsella_tanakaei	Collinsella tanakaei	2.5099	60.35
Ruminococcus_torques	[Ruminococcus] torques	3.01101	41.15
Collinsella_aerofaciens	Collinsella aerofaciens	2.23103	60
Enterococcus_faecium	Enterococcus faecium	2.9207	37.8225
